set_num,name,year,theme_id,num_parts,img_url
71759-1,Ninja Dragon Temple,2022,435,161,https://cdn.rebrickable.com/media/sets/71759-1.jpg
70684-1,Spinjitzu Slam - Kai vs. Samurai,2019,435,166,https://cdn.rebrickable.com/media/sets/70684-1.jpg
71703-1,Storm Fighter Battle,2020,435,166,https://cdn.rebrickable.com/media/sets/71703-1.jpg
2254-1,Mountain Shrine,2011,435,169,https://cdn.rebrickable.com/media/sets/2254-1.jpg
70502-1,Cole's Earth Driller,2013,435,171,https://cdn.rebrickable.com/media/sets/70502-1.jpg
70666-1,The Golden Dragon,2019,435,171,https://cdn.rebrickable.com/media/sets/70666-1.jpg
2518-1,Nuckal's ATV,2011,435,174,https://cdn.rebrickable.com/media/sets/2518-1.jpg
70650-1,Destiny's Wing,2018,435,181,https://cdn.rebrickable.com/media/sets/70650-1.jpg
71828-1,Lloyd's Pull-Back Race Car,2025,435,181,https://cdn.rebrickable.com/media/sets/71828-1.jpg
71745-1,Lloyd's Jungle Chopper Bike,2021,435,183,https://cdn.rebrickable.com/media/sets/71745-1.jpg
71800-1,Nya's Water Dragon EVO,2023,435,184,https://cdn.rebrickable.com/media/sets/71800-1.jpg
71826-1,Dragon Spinjitzu Battle Pack,2025,435,186,https://cdn.rebrickable.com/media/sets/71826-1.jpg
70755-1,Jungle Raider,2015,435,188,https://cdn.rebrickable.com/media/sets/70755-1.jpg
9441-1,Kai's Blade Cycle,2012,435,188,https://cdn.rebrickable.com/media/sets/9441-1.jpg
2508-1,Blacksmith Shop,2011,435,189,https://cdn.rebrickable.com/media/sets/2508-1.jpg
70721-1,Kai Fighter,2014,435,196,https://cdn.rebrickable.com/media/sets/70721-1.jpg
71790-1,Imperium Dragon Hunter Hound,2023,435,198,https://cdn.rebrickable.com/media/sets/71790-1.jpg
70622-1,Desert Lightning,2017,435,201,https://cdn.rebrickable.com/media/sets/70622-1.jpg
71762-1,Kai's Fire Dragon EVO,2022,435,206,https://cdn.rebrickable.com/media/sets/71762-1.jpg
70722-1,OverBorg Attack,2014,435,207,https://cdn.rebrickable.com/media/sets/70722-1.jpg
70591-1,Kryptarium Prison Breakout,2016,435,208,https://cdn.rebrickable.com/media/sets/70591-1.jpg
70664-1,Spinjitzu Lloyd vs. Garmadon,2019,435,208,https://cdn.rebrickable.com/media/sets/70664-1.jpg
71807-1,Sora's Tech Mech,2024,435,209,https://cdn.rebrickable.com/media/sets/71807-1.jpg
70501-1,Warrior Bike,2013,435,210,https://cdn.rebrickable.com/media/sets/70501-1.jpg
70733-1,Blaster Bike,2015,435,212,https://cdn.rebrickable.com/media/sets/70733-1.jpg
71839-1,Arin's Spinjitzu Battle Mech,2025,435,213,https://cdn.rebrickable.com/media/sets/71839-1.jpg
70756-1,Dojo Showdown,2015,435,215,https://cdn.rebrickable.com/media/sets/70756-1.jpg
70745-1,Anacondrai Crusher,2015,435,219,https://cdn.rebrickable.com/media/sets/70745-1.jpg
9558-1,Training Set,2012,435,219,https://cdn.rebrickable.com/media/sets/9558-1.jpg
70672-1,Cole's Dirt Bike,2019,435,221,https://cdn.rebrickable.com/media/sets/70672-1.jpg
70601-1,Sky Shark,2016,435,222,https://cdn.rebrickable.com/media/sets/70601-1.jpg
70651-1,Throne Room Showdown,2018,435,222,https://cdn.rebrickable.com/media/sets/70651-1.jpg
71707-1,Kai's Mech Jet,2020,435,226,https://cdn.rebrickable.com/media/sets/71707-1.jpg
2509-1,Earth Dragon Defense,2011,435,227,https://cdn.rebrickable.com/media/sets/2509-1.jpg
70663-1,Spinjitzu Nya & Wu,2019,435,227,https://cdn.rebrickable.com/media/sets/70663-1.jpg
71708-1,Gamer's Market,2020,435,228,https://cdn.rebrickable.com/media/sets/71708-1.jpg
71750-1,Lloyd's Hydro Mech,2021,435,228,https://cdn.rebrickable.com/media/sets/71750-1.jpg
70600-1,Ninja Bike Chase,2016,435,231,https://cdn.rebrickable.com/media/sets/70600-1.jpg
71781-1,Lloyd's Mech Battle EVO,2023,435,234,https://cdn.rebrickable.com/media/sets/71781-1.jpg
71806-1,Cole's Earth Mech,2024,435,235,https://cdn.rebrickable.com/media/sets/71806-1.jpg
70747-1,Boulder Blaster,2015,435,236,https://cdn.rebrickable.com/media/sets/70747-1.jpg
9442-1,Jay's Storm Fighter,2012,435,242,https://cdn.rebrickable.com/media/sets/9442-1.jpg
9447-1,Lasha's Bite Cycle,2012,435,250,https://cdn.rebrickable.com/media/sets/9447-1.jpg
70503-1,Golden Dragon,2013,435,252,https://cdn.rebrickable.com/media/sets/70503-1.jpg
70726-1,Destructoid,2014,435,253,https://cdn.rebrickable.com/media/sets/70726-1.jpg
71817-1,Lloyd's Elemental Power Mech,2024,435,253,https://cdn.rebrickable.com/media/sets/71817-1.jpg
9455-1,Fangpyre Mech,2012,435,255,https://cdn.rebrickable.com/media/sets/9455-1.jpg
70638-1,Katana V11,2018,435,257,https://cdn.rebrickable.com/media/sets/70638-1.jpg
71770-1,Zane's Golden Dragon Jet,2022,435,267,https://cdn.rebrickable.com/media/sets/71770-1.jpg
71811-1,Arin's Ninja Off-Road Buggy Car,2024,435,267,https://cdn.rebrickable.com/media/sets/71811-1.jpg
40704-1,Micro NINJAGO Docks,2024,435,275,https://cdn.rebrickable.com/media/sets/40704-1.jpg
71763-1,Lloyd's Race Car EVO,2022,435,279,https://cdn.rebrickable.com/media/sets/71763-1.jpg
9444-1,Cole's Tread Assault,2012,435,286,https://cdn.rebrickable.com/media/sets/9444-1.jpg
71735-1,Tournament of Elements,2021,435,292,https://cdn.rebrickable.com/media/sets/71735-1.jpg
70603-1,Raid Zeppelin,2016,435,295,https://cdn.rebrickable.com/media/sets/70603-1.jpg
71713-1,Empire Dragon,2020,435,295,https://cdn.rebrickable.com/media/sets/71713-1.jpg
71782-1,Cole's Earth Dragon EVO,2023,435,297,https://cdn.rebrickable.com/media/sets/71782-1.jpg
2263-1,Turbo Shredder,2011,435,298,https://cdn.rebrickable.com/media/sets/2263-1.jpg
70730-1,Chain Cycle Ambush,2015,435,298,https://cdn.rebrickable.com/media/sets/70730-1.jpg
71841-1,Dragonian Storm Village,2025,435,305,https://cdn.rebrickable.com/media/sets/71841-1.jpg
71791-1,Zaneâ€™s Dragon Power Spinjitzu Race Car,2023,435,307,https://cdn.rebrickable.com/media/sets/71791-1.jpg
70639-1,Street Race of Snake Jaguar,2018,435,308,https://cdn.rebrickable.com/media/sets/70639-1.jpg
70746-1,Condrai Copter Attack,2015,435,311,https://cdn.rebrickable.com/media/sets/70746-1.jpg
70624-1,Vermillion Invader,2017,435,313,https://cdn.rebrickable.com/media/sets/70624-1.jpg
71718-1,Wu's Battle Dragon,2020,435,322,https://cdn.rebrickable.com/media/sets/71718-1.jpg
71808-1,Kai's Fire Mech,2024,435,322,https://cdn.rebrickable.com/media/sets/71808-1.jpg
71709-1,Jay and Lloyd's Velocity Racers,2020,435,323,https://cdn.rebrickable.com/media/sets/71709-1.jpg
71783-1,Kai's Mech Rider EVO,2023,435,323,https://cdn.rebrickable.com/media/sets/71783-1.jpg
9443-1,Rattlecopter,2012,435,327,https://cdn.rebrickable.com/media/sets/9443-1.jpg
70504-1,Garmatron,2013,435,328,https://cdn.rebrickable.com/media/sets/70504-1.jpg
71830-1,Kai's Mech Storm Rider,2025,435,333,https://cdn.rebrickable.com/media/sets/71830-1.jpg
70723-1,Thunder Raider,2014,435,334,https://cdn.rebrickable.com/media/sets/70723-1.jpg
40703-1,Micro NINJAGO City,2024,435,339,https://cdn.rebrickable.com/media/sets/40703-1.jpg
70588-1,Titanium Ninja Tumbler,2016,435,343,https://cdn.rebrickable.com/media/sets/70588-1.jpg
70602-1,Jay's Elemental Dragon,2016,435,350,https://cdn.rebrickable.com/media/sets/70602-1.jpg
71752-1,Ninja Sub Speeder,2021,435,356,https://cdn.rebrickable.com/media/sets/71752-1.jpg
70623-1,Destiny's Shadow,2017,435,361,https://cdn.rebrickable.com/media/sets/70623-1.jpg
70748-1,Titanium Dragon,2015,435,361,https://cdn.rebrickable.com/media/sets/70748-1.jpg
70673-1,ShuriCopter,2019,435,364,https://cdn.rebrickable.com/media/sets/70673-1.jpg
40706-1,Micro NINJAGO City Markets,2024,435,365,https://cdn.rebrickable.com/media/sets/40706-1.jpg
2519-1,Skeleton Bowling,2011,435,371,https://cdn.rebrickable.com/media/sets/2519-1.jpg
71742-1,Overlord Dragon,2021,435,372,https://cdn.rebrickable.com/media/sets/71742-1.jpg
2504-1,Spinjitzu Dojo,2011,435,373,https://cdn.rebrickable.com/media/sets/2504-1.jpg
40705-1,Micro NINJAGO City Gardens,2024,435,376,https://cdn.rebrickable.com/media/sets/40705-1.jpg
70667-1,Kai's Blade Cycle & Zane's Snowmobile,2019,435,377,https://cdn.rebrickable.com/media/sets/70667-1.jpg
71842-1,Rontu the Master Dragon,2025,435,381,https://cdn.rebrickable.com/media/sets/71842-1.jpg
71792-1,Sora's Transforming Mech Bike Racer,2023,435,384,https://cdn.rebrickable.com/media/sets/71792-1.jpg
70731-1,Jay Walker One,2015,435,386,https://cdn.rebrickable.com/media/sets/70731-1.jpg
71769-1,Cole's Dragon Cruiser,2022,435,395,https://cdn.rebrickable.com/media/sets/71769-1.jpg
71717-1,Journey to the Skull Dungeons,2020,435,401,https://cdn.rebrickable.com/media/sets/71717-1.jpg
70589-1,Rock Roader,2016,435,406,https://cdn.rebrickable.com/media/sets/70589-1.jpg
9457-1,Fangpyre Wrecking Ball,2012,435,415,https://cdn.rebrickable.com/media/sets/9457-1.jpg
9456-1,Spinner Battle Arena,2012,435,418,https://cdn.rebrickable.com/media/sets/9456-1.jpg
70727-1,X-1 Ninja Charger,2014,435,426,https://cdn.rebrickable.com/media/sets/70727-1.jpg
71710-1,Ninja Tuner Car,2020,435,428,https://cdn.rebrickable.com/media/sets/71710-1.jpg
70625-1,Samurai VXL,2017,435,430,https://cdn.rebrickable.com/media/sets/70625-1.jpg
70592-1,Salvage M.E.C.,2016,435,439,https://cdn.rebrickable.com/media/sets/70592-1.jpg
71736-1,Boulder Blaster,2021,435,449,https://cdn.rebrickable.com/media/sets/71736-1.jpg
70604-1,Tiger Widow Island,2016,435,450,https://cdn.rebrickable.com/media/sets/70604-1.jpg
9445-1,Fangpyre Truck Ambush,2012,435,452,https://cdn.rebrickable.com/media/sets/9445-1.jpg
9448-1,Samurai X Mech,2012,435,452,https://cdn.rebrickable.com/media/sets/9448-1.jpg
70675-1,Katana 4x4,2019,435,461,https://cdn.rebrickable.com/media/sets/70675-1.jpg
2520-1,Battle Arena,2011,435,463,https://cdn.rebrickable.com/media/sets/2520-1.jpg
70674-1,Fire Fang,2019,435,469,https://cdn.rebrickable.com/media/sets/70674-1.jpg
71793-1,Heatwave Transforming Lava Dragon,2023,435,479,https://cdn.rebrickable.com/media/sets/71793-1.jpg
71702-1,Golden Mech,2020,435,489,https://cdn.rebrickable.com/media/sets/71702-1.jpg
70668-1,Jay's Storm Fighter,2019,435,490,https://cdn.rebrickable.com/media/sets/70668-1.jpg
70652-1,Stormbringer,2018,435,498,https://cdn.rebrickable.com/media/sets/70652-1.jpg
71746-1,Jungle Dragon,2021,435,506,https://cdn.rebrickable.com/media/sets/71746-1.jpg
71833-1,Ras and Arin's Super Storm Jet,2025,435,510,https://cdn.rebrickable.com/media/sets/71833-1.jpg
2506-1,Skull Truck,2011,435,515,https://cdn.rebrickable.com/media/sets/2506-1.jpg
70724-1,NinjaCopter,2014,435,516,https://cdn.rebrickable.com/media/sets/70724-1.jpg
2505-1,Garmadon's Dark Fortress,2011,435,518,https://cdn.rebrickable.com/media/sets/2505-1.jpg
71704-1,Kai Fighter,2020,435,518,https://cdn.rebrickable.com/media/sets/71704-1.jpg
71764-1,Ninja Training Center,2022,435,524,https://cdn.rebrickable.com/media/sets/71764-1.jpg
71711-1,Jay's Cyber Dragon,2020,435,527,https://cdn.rebrickable.com/media/sets/71711-1.jpg
70749-1,Enter the Serpent,2015,435,529,https://cdn.rebrickable.com/media/sets/70749-1.jpg
